Image_ID,Window,Door, shops shutter, Bench and Food stands,Brick wall with fence,Steps,Bulletin board,Bike,Motor Bike,Metal Fence,Flower,Flower box,Symbol and Sign,Grass,Plant cover,Path and sidewalk,Person in group,Person standing,Person sitting,Trees with oval shape,Wall,Water,Trees with columnar shape,Buildings wall,Buildings with column,Autos,Sky,Palm trees,Dome,Sunshade,Class_34
ChbaghR,0,1030,0,109336,0,0,14,0,0,217603,0,0,0,0,0,5275,16978,343,0,0,0,0,13118,0,319,0,601,0,0,187472,0
ChbaghR,0,0,0,392,0,0,0,0,0,0,0,0,0,103,44739,345277,0,11501,0,0,0,2725,125622,0,0,0,10310,0,0,0,0
ChbaghR,0,2065,0,294,0,27967,0,0,0,0,0,0,0,0,8444,62130,0,4929,0,0,0,31,36080,0,102653,0,0,0,0,24393,0
ChbaghR,0,4659,17707,4650,0,0,4865,0,0,995,0,0,0,0,0,274436,123,6542,0,0,0,256,78219,0,9293,0,0,25208,0,0,0
ChbaghR,0,0,0,150,0,0,240,5068,1973,0,0,0,0,0,10690,284244,0,16475,0,0,0,0,173298,0,0,0,25,0,0,0,0
ChbaghR,0,16473,0,2053,666,295,12298,0,0,252,0,0,440,0,21351,99301,5782,3709,0,0,15309,0,4894,0,590,0,0,0,0,0,0
ChbaghR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35524,294956,0,0,0,0,0,0,66501,0,0,0,5492,0,0,0,0
FinGard,0,0,0,0,0,0,13,0,0,0,0,0,0,10067,40907,300881,0,58217,0,0,0,75321,145765,0,0,0,36823,429,0,0,0
FinGard,0,0,0,1348,0,687,8076,0,0,0,0,0,14,10,105747,394450,0,0,0,0,32054,77046,190182,0,0,0,18908,61,0,0,0
FinGard,0,4,0,1412,0,709,8244,0,0,0,0,0,38,49,105199,392109,0,0,0,0,31587,75940,181738,0,0,0,17887,650,0,73,0
FinGard,0,0,0,0,0,0,957,0,0,0,0,0,0,186,162798,210104,0,866,0,0,0,836,264748,0,0,0,15160,0,0,0,0
FinGard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47465,243121,0,43884,0,0,0,79804,329216,0,0,0,26466,0,0,113,0
FinGard,0,0,0,6,94,0,0,0,0,0,0,0,0,7,71318,208214,0,10900,0,0,32,88116,194395,0,0,0,66743,0,0,0,0
FinGard,0,0,0,112,0,0,0,0,0,0,0,0,0,7,97960,291726,0,48286,0,0,0,54910,74323,0,0,0,205682,494,0,0,0
FinGard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9186,34766,0,50,0,0,0,297660,742,0,0,0,16195,0,0,607,0
FinGard,0,0,0,0,0,0,126,0,0,0,0,0,0,13763,93689,14283,0,705,0,0,0,6,146416,0,0,0,28750,0,0,0,0
NagJaAx,0,3139,0,0,266,0,0,610,6765,0,0,0,11370,0,0,287839,482,39547,936,0,16,0,0,0,0,0,125514,0,0,0,0
NagJaAx,0,0,0,0,0,0,0,0,0,27,0,0,4448,378,11790,321972,6644,52723,0,0,11,0,2066,0,0,0,121698,0,0,0,0
NagJaAx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8644,73634,484,858,0,0,0,5750,0,0,0,15608,0,0,0,0
NagJaAx,0,0,0,0,473,0,1,0,0,0,0,0,0,70,80828,246520,0,1634,0,0,9,0,0,0,0,0,136565,14451,0,0,0
NagJaAx,0,0,0,0,0,0,0,0,84,0,0,0,0,0,185,201675,16438,98920,0,0,0,0,0,0,0,0,126236,0,0,0,0
NagJaAx,0,0,0,0,0,0,0,76,4336,0,0,0,0,1,9770,237669,0,40543,85,0,0,0,0,0,0,0,0,0,0,0,0
NagJaSWalk,0,3342,4598,0,1421,0,0,0,4712,0,0,0,0,223,42738,155904,1043,96100,2518,0,0,0,0,0,0,0,130900,0,0,0,0
NagJaSWalk,0,94738,632,0,62516,0,0,0,0,2,0,0,0,18296,13405,114433,0,61988,1214,0,0,0,0,0,0,0,111399,0,0,1291,0
